order_id	name	order_value	priority	state	order_date	customer_id	ts
fc3eaf5e-3ea2-4026-9e13-a29e66527ae5	Process but exactly.	196	MEDIUM	MN	2024-07-16	916e32e0-8421-4443-ab42-d4b6451a5e5a	1722620744.912579
3bd3b802-9eda-444a-b3d6-6eb6dec9d373	Teacher yard deal.	983	HIGH	CT	2024-08-01	1e7a88f1-3ee2-429e-ac93-024c749056df	1722620744.912665
9052cc20-d235-4704-92b6-1c594f50a039	Add office stay.	650	LOW	MT	2024-07-08	419aad58-f340-4e65-94d3-dcf3e1e6c710	1722620744.912739
ef2bcd37-33d6-4f8c-b07c-b04c16e4e756	Hour natural act.	512	MEDIUM	TX	2024-07-12	1bf5733f-fa8a-41dd-8d6c-be1b0a2b43fa	1722620744.91281
04788e58-e078-4b5a-8527-a8daa3bdf508	Office tell sister.	960	HIGH	AR	2024-07-13	0cf6d9d7-0a6b-4ae4-868b-8b2a23623d1b	1722620744.912881
00c7ba2d-35fd-4962-9d7e-4099aaef819b	Language all growth.	244	HIGH	AK	2024-07-29	c67e4c91-6c51-4c50-87e4-7289d83f6c38	1722620744.912953
82c2553b-818b-4163-81ec-63ad38913d97	Order player data.	907	MEDIUM	MP	2024-07-20	aa067225-3ec6-48ea-b270-a33647e33064	1722620744.913023
74cd8b2e-16f5-4fd9-9a19-7b11a660c118	Daughter official.	138	LOW	VI	2024-07-18	e04ccf36-3ae5-425a-ba32-03246f65436c	1722620744.913086
9d5c2466-b50b-4e67-a951-04c0bda72fb1	News audience feel.	758	LOW	TN	2024-07-18	bba81d90-55fe-40bb-97fd-eab2bce8bef7	1722620744.913157
97876efc-3899-497e-89de-8726695a46f6	Box campaign.	53	HIGH	ID	2024-07-11	44ee15cd-645d-40a7-8102-788073c6ff79	1722620744.91322
f44ba956-6eed-444c-9532-06f0a35ac91e	Their morning would.	554	LOW	PW	2024-07-10	419aad58-f340-4e65-94d3-dcf3e1e6c710	1722620744.91329
0ccb8c29-e057-4670-b70b-a29b1a62fe5c	Certainly spend.	839	MEDIUM	PR	2024-07-26	4988fcb7-74c5-4df1-901a-686afbdc131f	1722620744.913353
69a623bd-ee83-4606-ab58-eedda6583adc	Light arm direction.	440	HIGH	OH	2024-07-20	e2566420-aa84-4e2f-b62d-aa5affb2d5bc	1722620744.913421
