order_id	name	order_value	priority	state	order_date	customer_id	ts
23f44192-b5ec-40e8-9207-22ebd398a2e7	Movie daughter goal.	367	HIGH	LA	2024-07-21	860f38da-c39c-4537-8bd1-dfcc6e1d2258	1722620744.957143
6a875167-23b9-494d-b476-94c218d0b18f	Enjoy voice oil.	769	HIGH	NM	2024-08-01	7249d0d7-2974-4a84-befc-ee1d4724d76f	1722620744.957225
a178cb7d-c7e0-4193-9307-aae808fcf3c0	Must what choose.	403	HIGH	FL	2024-07-19	9c045f03-207d-4f99-a069-b1e936534c55	1722620744.957298
109ac0d4-2fc9-423a-8539-068ef222d5f8	Certainly wall.	50	LOW	NC	2024-07-20	079240d1-f336-4d6b-851d-aa9f02dff0cc	1722620744.95736
502d5166-b085-4104-8749-54ad586eb4c5	Boy general may.	15	HIGH	VA	2024-07-04	079240d1-f336-4d6b-851d-aa9f02dff0cc	1722620744.957427
11a558ed-0fa6-489c-8e33-a40568db31f7	Force ready join.	979	HIGH	IL	2024-07-12	7249d0d7-2974-4a84-befc-ee1d4724d76f	1722620744.957494
ba2227f1-eb67-4079-bd79-1219fbfae584	Worry challenge lot.	700	HIGH	ME	2024-07-11	675d13aa-120e-47a7-b686-3c9b012074f8	1722620744.95756
96d88963-9265-4d3e-a725-3272ce1d3785	Production woman.	37	MEDIUM	NY	2024-07-29	a19e92b2-1cb5-43bf-877b-5ddcd25e1640	1722620744.957619
b5c19b6e-7e7d-42fb-8236-12ad2f51ff8f	Site both act vote.	583	LOW	TN	2024-07-24	0cdad44d-ff49-41c6-8ca0-b8a4bde0844e	1722620744.95769
7a5cce08-6ec7-4f9b-bd74-8a08bdceae45	Second through can.	518	HIGH	FM	2024-07-26	30d3a8b9-65a7-4fe4-a57f-b50ee61b946a	1722620744.957755
eb5d2bc9-eb40-430f-9094-c84e85630f8a	Wall task shoulder.	352	HIGH	RI	2024-07-25	dd135b8f-984d-4430-9b63-3dbf354b610c	1722620744.95782
92985107-080a-45b1-af9f-f1f3bd9b94c5	Much sort.	344	MEDIUM	UT	2024-07-14	30d3a8b9-65a7-4fe4-a57f-b50ee61b946a	1722620744.957879
68d0f3a7-5624-4c4f-ad6a-dd0231eef062	Administration.	551	HIGH	SD	2024-07-13	5bba261a-1f94-49bf-b336-ee31cc82fd28	1722620744.957932
72905937-dd2f-4e67-8cdc-27d349bff693	Out doctor price.	31	MEDIUM	TN	2024-07-16	30d3a8b9-65a7-4fe4-a57f-b50ee61b946a	1722620744.957998
1491cbce-631c-4a22-bebe-b2b54eeb4214	Up need off central.	56	LOW	MN	2024-07-12	e0406024-e620-44cf-bae7-f66367093b69	1722620744.958068
eaa9947e-b369-4e84-ab7a-b38114a11198	Show news surface.	368	HIGH	MP	2024-07-07	72895f52-6a78-4a0a-97e8-e69c2ee726b9	1722620744.958133
ca0af179-1890-4ede-b68b-5719c5e0926f	Production their of.	835	HIGH	PA	2024-07-27	f882aba2-613b-4a96-be23-8badb7dda1bc	1722620744.958198
714173fa-5c93-4945-b6ca-dd5b6e9dddc4	Film see would.	439	LOW	NV	2024-07-22	a6ef39fd-133e-47c9-969c-b19546952e03	1722620744.958262
